                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.558,                 1.9332,                 1.5997,                0.67253,                0.48574,                0.53871,                0.36894,                 1.2479,                 1.6021,                 1.3973,               0.006733,               0.006733,               0.006733
                     35,                 1.4713,                 1.8834,                  1.528,                0.62837,                0.52268,                0.55675,                 0.3915,                 1.2066,                 1.6108,                 1.3541,               0.006634,               0.006634,               0.006634
                     36,                 1.4635,                 1.8247,                 1.5205,                0.67458,                0.54189,                0.59226,                 0.4142,                 1.1696,                 1.4858,                  1.324,               0.006535,               0.006535,               0.006535
                     37,                 1.4599,                 1.6971,                 1.4715,                0.60653,                0.55394,                0.57378,                  0.397,                  1.172,                 1.5189,                 1.3147,               0.006436,               0.006436,               0.006436
                     38,                 1.5411,                 1.8551,                 1.5944,                0.57902,                0.53112,                0.50532,                0.35788,                 1.1602,                 1.4847,                 1.3194,               0.006337,               0.006337,               0.006337
                     39,                 1.4242,                 1.7047,                 1.5661,                0.60268,                0.57276,                0.53062,                0.37986,                 1.1314,                 1.4399,                 1.3147,               0.006238,               0.006238,               0.006238
                     40,                 1.5058,                 1.8082,                 1.5445,                0.67792,                0.57261,                0.63088,                0.45085,                  1.109,                 1.3429,                  1.299,               0.006139,               0.006139,               0.006139
                     41,                 1.3883,                 1.6526,                 1.4412,                0.57227,                0.51245,                0.52476,                0.35968,                  1.167,                 1.6483,                  1.308,                0.00604,                0.00604,                0.00604
                     42,                 1.4152,                 1.6099,                 1.4618,                0.74085,                0.59959,                0.67436,                0.48962,                 1.0604,                 1.2189,                 1.2417,               0.005941,               0.005941,               0.005941
                     43,                 1.4409,                 1.6733,                 1.4685,                0.74472,                0.56224,                 0.6539,                0.46709,                 1.0978,                 1.3238,                 1.2712,               0.005842,               0.005842,               0.005842
                     44,                 1.3738,                 1.5687,                 1.4188,                0.60761,                0.57054,                0.50652,                0.35688,                 1.0612,                 1.4639,                 1.2805,               0.005743,               0.005743,               0.005743
                     45,                 1.3728,                 1.6221,                 1.4554,                0.76878,                0.61826,                0.69094,                0.50184,                 1.0344,                 1.1895,                  1.243,               0.005644,               0.005644,               0.005644
                     46,                 1.3539,                 1.5444,                 1.4507,                0.74361,                0.58091,                0.68039,                0.48511,                 1.0541,                 1.2254,                  1.241,               0.005545,               0.005545,               0.005545
                     47,                 1.3264,                 1.5598,                 1.3711,                0.70658,                0.62863,                0.69786,                0.50281,                 1.0285,                  1.184,                 1.2219,               0.005446,               0.005446,               0.005446
                     48,                 1.3983,                 1.6295,                  1.442,                0.67559,                0.57261,                0.61672,                0.45712,                 1.0161,                 1.3825,                 1.2424,               0.005347,               0.005347,               0.005347
                     49,                 1.3712,                 1.5286,                 1.3674,                0.78293,                0.62109,                0.70315,                0.50353,                 1.0639,                 1.1989,                 1.2364,               0.005248,               0.005248,               0.005248
                     50,                  1.317,                 1.5104,                 1.4332,                0.76048,                0.63236,                 0.7141,                0.52643,                 1.0062,                 1.1214,                 1.2009,               0.005149,               0.005149,               0.005149
                     51,                 1.2986,                  1.446,                 1.3449,                0.75553,                0.62836,                0.69429,                0.51165,                  1.003,                 1.1932,                 1.1867,                0.00505,                0.00505,                0.00505
                     52,                 1.2313,                 1.4215,                 1.3752,                0.78438,                0.63693,                0.72421,                0.53432,                0.97762,                 1.0881,                 1.1697,               0.004951,               0.004951,               0.004951
                     53,                 1.2931,                 1.3962,                 1.3577,                0.75636,                0.62474,                0.72409,                0.52857,                0.98244,                 1.0877,                 1.1743,               0.004852,               0.004852,               0.004852
                     54,                 1.1674,                 1.3482,                 1.2775,                0.81681,                0.62241,                 0.7301,                0.55846,                0.93938,                 1.0908,                  1.153,               0.004753,               0.004753,               0.004753
                     55,                 1.2226,                 1.3688,                 1.3296,                0.68396,                0.65553,                0.62393,                 0.4542,                0.94454,                 1.1752,                 1.1501,               0.004654,               0.004654,               0.004654
                     56,                  1.281,                 1.4527,                 1.3485,                0.74937,                 0.6473,                0.70854,                0.53329,                0.94307,                 1.0999,                  1.145,               0.004555,               0.004555,               0.004555
                     57,                 1.1734,                 1.3404,                 1.2969,                0.82675,                0.65768,                0.74699,                0.56377,                0.93855,                 1.0543,                 1.1489,               0.004456,               0.004456,               0.004456
                     58,                 1.2283,                 1.3685,                 1.3265,                  0.755,                0.69687,                0.76474,                0.56689,                 0.9639,                 1.0483,                  1.157,               0.004357,               0.004357,               0.004357
                     59,                 1.2127,                 1.3261,                 1.3059,                0.80953,                0.68465,                0.77785,                0.57811,                0.95717,                 1.0112,                 1.1532,               0.004258,               0.004258,               0.004258
                     60,                 1.2612,                 1.4002,                 1.3593,                0.80363,                0.69621,                0.77404,                0.57831,                0.93171,                0.98905,                 1.1516,               0.004159,               0.004159,               0.004159
                     61,                 1.1898,                 1.3471,                  1.258,                0.77741,                0.71736,                0.77165,                0.56071,                0.93875,                 1.0063,                 1.1501,                0.00406,                0.00406,                0.00406
                     62,                 1.1862,                 1.2584,                 1.2255,                0.80479,                 0.6757,                0.78529,                0.58529,                0.92523,                0.99039,                 1.1416,               0.003961,               0.003961,               0.003961
                     63,                 1.1797,                 1.3015,                 1.3166,                0.76971,                0.72407,                0.77799,                0.59025,                 0.9249,                 0.9789,                 1.1334,               0.003862,               0.003862,               0.003862
                     64,                 1.2099,                  1.308,                  1.282,                0.80074,                0.71699,                0.78575,                0.59435,                0.89928,                0.94865,                 1.1145,               0.003763,               0.003763,               0.003763
                     65,                 1.1503,                 1.2276,                 1.2436,                0.76461,                0.69087,                0.74698,                0.56061,                0.91569,                 1.0094,                 1.1227,               0.003664,               0.003664,               0.003664
                     66,                 1.1201,                 1.2527,                 1.2027,                0.78819,                0.74116,                0.81037,                0.60035,                0.89183,                0.92321,                 1.1082,               0.003565,               0.003565,               0.003565
                     67,                 1.1744,                 1.2344,                 1.3041,                0.80934,                0.69295,                0.78835,                0.60983,                0.87251,                0.90028,                 1.1062,               0.003466,               0.003466,               0.003466
                     68,                 1.2184,                 1.2825,                 1.3054,                0.82065,                0.70247,                0.80517,                0.61727,                0.86496,                0.90595,                 1.1011,               0.003367,               0.003367,               0.003367
                     69,                 1.1268,                 1.1886,                 1.2513,                0.85181,                0.70954,                0.81684,                0.62896,                0.84822,                0.88354,                 1.0953,               0.003268,               0.003268,               0.003268
                     70,                 1.1292,                 1.1892,                 1.2245,                0.81324,                0.71784,                0.81492,                0.62654,                0.86975,                0.86141,                 1.0954,               0.003169,               0.003169,               0.003169
                     71,                 1.1006,                 1.1492,                 1.2594,                0.79689,                0.74274,                0.82146,                0.64067,                0.84132,                0.85037,                 1.0787,                0.00307,                0.00307,                0.00307
                     72,                 1.1372,                 1.1976,                 1.2269,                0.84809,                0.72968,                0.82178,                  0.624,                0.85149,                0.89942,                 1.0885,               0.002971,               0.002971,               0.002971
                     73,                 1.1451,                 1.2462,                 1.2584,                0.83287,                0.74066,                0.83134,                0.64562,                0.83446,                0.84171,                 1.0799,               0.002872,               0.002872,               0.002872
